latitud,longitud,farm_id,objeto,calle,altura,direc_norm,direc_arcg,telefono,obs_telefono,barrio,comuna
-58.382.459.854.893,-346.280.240.208.381,594,FARMACIA,BRASIL,1184,BRASIL 1184,1184 BRASIL,3040273,3069425,CONSTITUCION,1
-583.914.308.908.691,-346.195.435.369.959,692,FARMACIA,AV ENTRE RIOS,940,ENTRE RIOS AV. 940,940 ENTRE RIOS AV.,4304-2462,FAX 4381,CONSTITUCION,1
-583.831.855.379.649,-346.267.840.137.021,756,FARMACIA,AV J. DE GARAY,1221,"GARAY, JUAN DE AV. 1221","1221 GARAY, JUAN DE AV.",3044742,,CONSTITUCION,1
-583.845.155.890.442,-346.224.956.424.631,1125,FARMACIA,AV SAN JUAN,1302,SAN JUAN AV. 1302,1302 SAN JUAN AV.,4305-9701,,CONSTITUCION,1
-583.833.686.680.777,-34.627.776.607.908,1201,FARMACIA,BRASIL,1223,BRASIL 1223,1223 BRASIL,4304-4690,,CONSTITUCION,1
-583.818.820.360.408,-346.280.085.456.761,1231,FARMACIA,BRASIL,1156,BRASIL 1156,1156 BRASIL,4304-4138,,CONSTITUCION,1
-583.829.307.248.592,-346.296.273.883.129,1302,FARMACIA,SALTA,1899,SALTA 1899,1899 SALTA,,,CONSTITUCION,1
-583.778.466.817.188,-346.283.590.248.953,1357,FARMACIA,AV CASEROS,999,CASEROS AV. 999,999 CASEROS AV.,4300-6522,,CONSTITUCION,1
-583.805.900.421.796,-346.279.736.156.361,1364,FARMACIA,BRASIL,1128,BRASIL 1128,1128 BRASIL,4305-8886,,CONSTITUCION,1
-58.382.663.986.728,-346.196.200.140.331,1427,FARMACIA,CARLOS CALVO,1183,"CALVO, CARLOS 1183","1183 CALVO, CARLOS",5275-7736,4304-3450,CONSTITUCION,1
-583.854.481.391.746,-346.180.200.330.551,1471,FARMACIA,AV INDEPENDENCIA,1384,INDEPENDENCIA AV. 1384,1384 INDEPENDENCIA AV.,,,CONSTITUCION,1
-583.783.933.181.141,-346.237.659.962.574,107,FARMACIA,TACUARI,1302,TACUARI 1302,1302 TACUARI,4307-5267,4300-2034,CONSTITUCION,1
-583.841.928.426.983,-346.280.207.080.516,1456,FARMACIA,BRASIL,1299,BRASIL 1299,1299 BRASIL,4304-3032,,CONSTITUCION,1
-583.922.352.635.311,-346.183.673.727.072,25,FARMACIA,AV INDEPENDENCIA,1834,INDEPENDENCIA AV. 1834,1834 INDEPENDENCIA AV.,4381-7675,,SAN CRISTOBAL,3
-584.046.145.541.558,-34.624.262.876.231,216,FARMACIA,AV SAN JUAN,2844,SAN JUAN AV. 2844,2844 SAN JUAN AV.,4941-1233,,SAN CRISTOBAL,3
-584.077.593.500.948,-346.207.888.889.186,257,FARMACIA,ESTADOS UNIDOS,3001,ESTADOS UNIDOS 3001,3001 ESTADOS UNIDOS,4931-0880,,SAN CRISTOBAL,3
-584.072.735.831.082,-346.213.036.292.543,347,FARMACIA,LA RIOJA,934,LA RIOJA 934,934 LA RIOJA,4957-0322,4931-1035,SAN CRISTOBAL,3
-584.018.671.302.175,-346.239.247.124.464,361,FARMACIA,AV SAN JUAN,2684,SAN JUAN AV. 2684,2684 SAN JUAN AV.,4308-2853,,SAN CRISTOBAL,3
-584.005.846.941.656,-346.233.911.929.187,362,FARMACIA,AV SAN JUAN,2501,SAN JUAN AV. 2501,2501 SAN JUAN AV.,4308-3042,,SAN CRISTOBAL,3
-584.085.384.756.543,-346.293.998.653.414,408,FARMACIA,AV J. DE GARAY,3101,"GARAY, JUAN DE AV. 3101","3101 GARAY, JUAN DE AV.",4941-1198,4669-0155,SAN CRISTOBAL,3
-584.072.130.237.967,-346.245.751.869.937,487,FARMACIA,AV SAN JUAN,3002,SAN JUAN AV. 3002,3002 SAN JUAN AV.,4941-6102,,SAN CRISTOBAL,3
-584.008.097.081.991,-34.628.478.754.937,908,FARMACIA,AV J. DE GARAY,2565,"GARAY, JUAN DE AV. 2565","2565 GARAY, JUAN DE AV.",4308-4006,,SAN CRISTOBAL,3
-583.936.189.389.984,-346.230.514.282.979,589,FARMACIA,AV SAN JUAN,2000,SAN JUAN AV. 2000,2000 SAN JUAN AV.,4306-9032,4304-6739,SAN CRISTOBAL,3
-583.968.894.556.407,-346.229.330.296.286,642,FARMACIA,AV SAN JUAN,2233,SAN JUAN AV. 2233,2233 SAN JUAN AV.,4942-5021,,SAN CRISTOBAL,3
-584.062.535.867.052,-346.195.763.579.804,672,FARMACIA,AV INDEPENDENCIA,2900,INDEPENDENCIA AV. 2900,2900 INDEPENDENCIA AV.,4957-2669,FAX 4932-3254,SAN CRISTOBAL,3
-583.917.242.205.946,-346.224.421.989.172,729,FARMACIA,AV ENTRE RIOS,1177,ENTRE RIOS AV. 1177,1177 ENTRE RIOS AV.,4304-7719,4304-0951,SAN CRISTOBAL,3
-584.079.247.337.179,-346.199.244.193.643,774,FARMACIA,AV INDEPENDENCIA,3002,INDEPENDENCIA AV. 3002,3002 INDEPENDENCIA AV.,4931-3080,,SAN CRISTOBAL,3
-584.098.157.555.016,-346.248.796.936.713,835,FARMACIA,AV SAN JUAN,3162,SAN JUAN AV. 3162,3162 SAN JUAN AV.,4932-7367,,SAN CRISTOBAL,3
-584.025.158.073.989,-346.236.376.769.931,1029,FARMACIA,AV SAN JUAN,2701,SAN JUAN AV. 2701,2701 SAN JUAN AV.,,,SAN CRISTOBAL,3
-584.032.871.994.193,-346.190.065.751.936,1043,FARMACIA,AV INDEPENDENCIA,2700,INDEPENDENCIA AV. 2700,2700 INDEPENDENCIA AV.,,,SAN CRISTOBAL,3
-583.988.651.280.762,-346.235.487.962.508,1333,FARMACIA,AV SAN JUAN,2376,SAN JUAN AV. 2376,2376 SAN JUAN AV.,4941-5802,,SAN CRISTOBAL,3
-583.952.990.232.116,-346.227.784.892.462,1472,FARMACIA,AV SAN JUAN,2099,SAN JUAN AV. 2099,2099 SAN JUAN AV.,4308-6188,,SAN CRISTOBAL,3
-583.946.096.942.642,-346.184.768.109.817,1482,FARMACIA,AV INDEPENDENCIA,2002,INDEPENDENCIA AV. 2002,2002 INDEPENDENCIA AV.,4941-9086,,SAN CRISTOBAL,3
-58.425.924.555.514,-346.297.001.900.707,154,FARMACIA,AV LA PLATA,1234,LA PLATA AV. 1234,1234 LA PLATA AV.,4921-1712,,BOEDO,5
-584.217.062.605.824,-346.260.839.278.423,175,FARMACIA,AV SAN JUAN,4009,SAN JUAN AV. 4009,4009 SAN JUAN AV.,4923-3438,,BOEDO,5
-584.229.180.769.106,-346.308.829.199.951,205,FARMACIA,AV PAVON,4183,PAVON AV. 4183,4183 PAVON AV.,4924-6166,,BOEDO,5
-584.133.978.060.447,-346.336.086.302.444,324,FARMACIA,SALCEDO,3430,SALCEDO 3430,3430 SALCEDO,,,BOEDO,5
-58.415.328.542.092,-346.386.235.264.853,336,FARMACIA,AV CASEROS,3555,CASEROS AV. 3555,3555 CASEROS AV.,4924-0954,,BOEDO,5
-584.161.989.134.438,-346.320.625.597.614,523,FARMACIA,AV BOEDO,1549,BOEDO AV. 1549,1549 BOEDO AV.,4923-3338,,BOEDO,5
-584.163.746.462.572,-346.246.893.717.559,670,FARMACIA,AV BOEDO,937,BOEDO AV. 937,937 BOEDO AV.,4931-1458,,BOEDO,5
-584.250.933.861.147,-346.331.645.967.166,707,FARMACIA,AV LA PLATA,1560,LA PLATA AV. 1560,1560 LA PLATA AV.,,,BOEDO,5
-584.255.091.426.112,-34.631.633.766.702,781,FARMACIA,AV LA PLATA,1402,LA PLATA AV. 1402,1402 LA PLATA AV.,4921-7055,,BOEDO,5
-584.221.300.321.224,-346.322.205.390.489,859,FARMACIA,AV J. DE GARAY,4144,"GARAY, JUAN DE AV. 4144","4144 GARAY, JUAN DE AV.",,,BOEDO,5
-584.166.349.845.277,-346.221.081.822.462,932,FARMACIA,AV BOEDO,783,BOEDO AV. 783,783 BOEDO AV.,4931-1675,,BOEDO,5
-584.245.426.318.135,-346.349.053.871.231,949,FARMACIA,AV LA PLATA,1702,LA PLATA AV. 1702,1702 LA PLATA AV.,,,BOEDO,5
-58.416.360.238.305,-346.248.787.135.972,1072,FARMACIA,AV BOEDO,953,BOEDO AV. 953,953 BOEDO AV.,,,BOEDO,5
-584.164.776.557.331,-346.240.191.780.842,1176,FARMACIA,CARLOS CALVO,3601,"CALVO, CARLOS 3601","3601 CALVO, CARLOS",4931-3268,4930-0018 o 4930-0019,BOEDO,5
-58.415.905.641.471,-346.249.371.047.573,1237,FARMACIA,AV BOEDO,950,BOEDO AV. 950,950 BOEDO AV.,4957-6444,,BOEDO,5
-58.419.797.061.985,-346.214.001.637.035,1287,FARMACIA,AV INDEPENDENCIA,3830,INDEPENDENCIA AV. 3830,3830 INDEPENDENCIA AV.,4931-4644,/6795,BOEDO,5
-584.178.456.188.554,-346.254.954.512.011,481,FARMACIA,AV SAN JUAN,3701,SAN JUAN AV. 3701,3701 SAN JUAN AV.,4932-2007,,BOEDO,5
-58.486.320.406.937,-346.403.808.317.407,62,FARMACIA,AV JUAN B. ALBERDI,4301,"ALBERDI, JUAN BAUTISTA AV. 4301","4301 ALBERDI, JUAN BAUTISTA AV.",4671-7269,,VELEZ SARSFIELD,10
-584.883.754.651.097,-346.293.498.570.309,117,FARMACIA,AV SEGUROLA,600,SEGUROLA AV. 600,600 SEGUROLA AV.,,,VELEZ SARSFIELD,10
-584.980.624.828.212,-346.216.748.679.176,212,FARMACIA,AV SEGUROLA,1574,SEGUROLA AV. 1574,1574 SEGUROLA AV.,4639-5347,,VELEZ SARSFIELD,10
-584.824.974.159.365,-346.341.585.413.263,295,FARMACIA,AV RIVADAVIA,8418,RIVADAVIA AV. 8418,8418 RIVADAVIA AV.,4671-3330,,VELEZ SARSFIELD,10
-584.941.825.564.831,-346.247.356.673.436,358,FARMACIA,AV SEGUROLA,1200,SEGUROLA AV. 1200,1200 SEGUROLA AV.,4567-5197,,VELEZ SARSFIELD,10
-584.860.429.413.539,-346.312.232.048.519,359,FARMACIA,AV SEGUROLA,296,SEGUROLA AV. 296,296 SEGUROLA AV.,4671-8397,,VELEZ SARSFIELD,10
-584.926.723.738.491,-346.362.275.186.132,366,FARMACIA,AV RIVADAVIA,9123,RIVADAVIA AV. 9123,9123 RIVADAVIA AV.,2050-0010,,VELEZ SARSFIELD,10
-584.871.383.488.651,-346.407.902.709.271,394,FARMACIA,J B ALBERDI,4351,"ALBERDI, JUAN BAUTISTA AV. 4351","4351 ALBERDI, JUAN BAUTISTA AV.",,,VELEZ SARSFIELD,10
-584.892.496.244.646,-346.357.906.186.635,500,FARMACIA,AV RIVADAVIA,8900,RIVADAVIA AV. 8900,8900 RIVADAVIA AV.,3535-2395,,VELEZ SARSFIELD,10
-584.897.884.121.323,-346.282.979.203.955,891,FARMACIA,AV SEGUROLA,738,SEGUROLA AV. 738,738 SEGUROLA AV.,4671-8525,4674-4001,VELEZ SARSFIELD,10
-584.889.704.605.358,-346.357.227.413.598,603,FARMACIA,AV RIVADAVIA,8880,RIVADAVIA AV. 8880,8880 RIVADAVIA AV.,4674-3797,,VELEZ SARSFIELD,10
-58.486.891.813.368,-346.348.601.348.535,650,FARMACIA,AV RIVADAVIA,8701,RIVADAVIA AV. 8701,8701 RIVADAVIA AV.,4672-0370,,VELEZ SARSFIELD,10
-584.892.256.985.875,-346.357.843.606.803,705,FARMACIA,AV RIVADAVIA,8896,RIVADAVIA AV. 8896,8896 RIVADAVIA AV.,,,VELEZ SARSFIELD,10
-58.483.177.688.077,-346.389.206.192.459,746,FARMACIA,AV JUAN B. ALBERDI,4101,"ALBERDI, JUAN BAUTISTA AV. 4101","4101 ALBERDI, JUAN BAUTISTA AV.",4671-7909,,VELEZ SARSFIELD,10
-5.849.178.103.402,-346.322.329.690.173,817,FARMACIA,AV CARRASCO,464,CARRASCO AV. 464,464 CARRASCO AV.,4671-7400,,VELEZ SARSFIELD,10
-58.483.177.486.149,-346.339.454.408.875,1026,FARMACIA,AV RIVADAVIA,8503,RIVADAVIA AV. 8503,8503 RIVADAVIA AV.,,,VELEZ SARSFIELD,10
-584.872.066.911.541,-346.353.168.449.471,1045,FARMACIA,AV RIVADAVIA,8784,RIVADAVIA AV. 8784,8784 RIVADAVIA AV.,,,VELEZ SARSFIELD,10
-584.874.766.751.016,-346.349.861.322.019,1131,FARMACIA,AV RIVADAVIA,8777,RIVADAVIA AV. 8777,8777 RIVADAVIA AV.,4674-1935,4672-5979,VELEZ SARSFIELD,10
-584.873.517.241.803,-346.370.371.571.667,1133,FARMACIA,AV OLIVERA,139,OLIVERA AV. 139,139 OLIVERA AV.,4672-5860,,VELEZ SARSFIELD,10
-584.833.175.566.364,-346.339.832.776.852,1263,FARMACIA,AV RIVADAVIA,8509,RIVADAVIA AV. 8509,8509 RIVADAVIA AV.,4672-8798,,VELEZ SARSFIELD,10
-585.005.830.843.023,-346.325.077.990.912,166,FARMACIA,AV LOPE DE VEGA,580,LOPE DE VEGA 580,580 LOPE DE VEGA,4683-7291,,VILLA LURO,10
-584.968.197.264.586,-346.372.679.642.371,319,FARMACIA,AV RIVADAVIA,9406,RIVADAVIA AV. 9406,9406 RIVADAVIA AV.,4683-6015,,VILLA LURO,10
-585.057.634.495.969,-346.385.629.353.582,335,FARMACIA,AV RIVADAVIA,10100,RIVADAVIA AV. 10100,10100 RIVADAVIA AV.,4682-1899,,VILLA LURO,10
-585.155.627.889.859,-346.288.360.354.152,456,FARMACIA,IRIGOYEN,1237,IRIGOYEN 1237,1237 IRIGOYEN,4639-8219,,VILLA LURO,10
-585.039.911.011.605,-34.638.254.019.973,474,FARMACIA,AV RIVADAVIA,9902,RIVADAVIA AV. 9902,9902 RIVADAVIA AV.,4637-9735,,VILLA LURO,10
-585.126.226.272.928,-34.625.295.057.459,688,FARMACIA,AV ALVAREZ JONTE,5402,ALVAREZ JONTE AV. 5402,5402 ALVAREZ JONTE AV.,4567-8388,,VILLA LURO,10
-585.070.838.818.432,-346.324.955.917.682,761,FARMACIA,MAGARINOS CERVANTES,5402,"MAGARIÃ‘OS CERVANTES, A. 5402","5402 MAGARIÃ‘OS CERVANTES, A.",4567-8936,,VILLA LURO,10
-584.949.847.316.753,-34.644.524.791.189,795,FARMACIA,AV JUAN B. ALBERDI,4887,"ALBERDI, JUAN BAUTISTA AV. 4887","4887 ALBERDI, JUAN BAUTISTA AV.",4683-1305,,VILLA LURO,10
-58.507.174.994.456,-346.279.246.382.217,815,FARMACIA,AV LOPE DE VEGA,1272,LOPE DE VEGA AV. 1272,1272 LOPE DE VEGA AV.,4567-7888,,VILLA LURO,10
-584.998.021.157.006,-346.376.646.597.801,962,FARMACIA,AV RIVADAVIA,9626,RIVADAVIA AV. 9626,9626 RIVADAVIA AV.,4601-9969,,VILLA LURO,10
-584.981.208.555.712,-346.374.282.853.375,317,FARMACIA,AV RIVADAVIA,9502,RIVADAVIA AV. 9502,9502 RIVADAVIA AV.,4683-7995,,VILLA LURO,10
-583.908.711.296.024,-346.344.294.207.626,21,FARMACIA,AV CASEROS,2032,CASEROS AV. 2032,2032 CASEROS AV.,4304-2691,4304-1697,PARQUE PATRICIOS,4
-583.973.092.583.579,-346.307.532.805.789,137,FARMACIA,BRASIL,2388,BRASIL 2388,2388 BRASIL,4941-4744,/20,PARQUE PATRICIOS,4
-584.081.036.636.079,-346.338.431.289.847,218,FARMACIA,URQUIZA,1949,"URQUIZA, GRAL. 1949","1949 URQUIZA, GRAL.",,,PARQUE PATRICIOS,4
-584.093.075.162.985,-346.475.013.877.121,292,FARMACIA,GRITO DE ASENCIO,3402,GRITO DE ASENCIO 3402,3402 GRITO DE ASENCIO,4911-1555,,PARQUE PATRICIOS,4
-583.979.898.051.694,-346.295.782.544.561,353,FARMACIA,MATHEU,1702,MATHEU 1702,1702 MATHEU,4308-5084,,PARQUE PATRICIOS,4
-583.906.225.448.921,-346.336.995.025.821,365,FARMACIA,AV ENTRE RIOS,2177,ENTRE RIOS AV. 2177,2177 ENTRE RIOS AV.,3041160,3049625,PARQUE PATRICIOS,4
-583.978.699.116.349,-346.297.654.808.494,382,FARMACIA,MATHEU,1720,MATHEU 1720,1720 MATHEU,4941-6097,,PARQUE PATRICIOS,4
-583.916.710.610.383,-346.308.473.567.014,427,FARMACIA,COMBATE DE LOS POZOS,1881,COMBATE DE LOS POZOS 1881,1881 COMBATE DE LOS POZOS,4943-7411,,PARQUE PATRICIOS,4
-583.920.639.791.135,-346.346.953.257.924,461,FARMACIA,AV CASEROS,2102,CASEROS AV. 2102,2102 CASEROS AV.,4304-6224,,PARQUE PATRICIOS,4
-584.026.248.836.325,-346.364.070.744.536,553,FARMACIA,AV CASEROS,2827,CASEROS AV. 2827,2827 CASEROS AV.,4943-1819,,PARQUE PATRICIOS,4
-583.990.147.840.054,-346.361.203.921.841,580,FARMACIA,AV CASEROS,2608,CASEROS AV. 2608,2608 CASEROS AV.,4942-3253,,PARQUE PATRICIOS,4
-584.115.748.567.262,-346.397.133.896.307,617,FARMACIA,USPALLATA,3400,USPALLATA 3400,3400 USPALLATA,4909-4160,,PARQUE PATRICIOS,4
-584.061.663.064.018,-346.339.202.135.435,694,FARMACIA,LA RIOJA,1905,LA RIOJA 1905,1905 LA RIOJA,4943-4622,15-6000-2200,PARQUE PATRICIOS,4
-584.042.143.173.809,-346.366.869.554.671,802,FARMACIA,AV CASEROS,2915,CASEROS AV. 2915,2915 CASEROS AV.,4943-1942,,PARQUE PATRICIOS,4
-584.059.270.377.349,-346.358.350.787.969,816,FARMACIA,LA RIOJA,2099,LA RIOJA 2099,2099 LA RIOJA,4943-0647,/1786,PARQUE PATRICIOS,4
-584.047.483.105.297,-346.371.113.222.382,1142,FARMACIA,AV CASEROS,2980,CASEROS AV. 2980,2980 CASEROS AV.,4912-2893,,PARQUE PATRICIOS,4
-584.046.712.677.863,-346.308.689.999.373,1143,FARMACIA,DEAN FUNES,1744,DEAN FUNES 1744,1744 DEAN FUNES,4941-1078,,PARQUE PATRICIOS,4
-584.009.950.771.172,-346.305.184.994.193,1156,FARMACIA,AV JUJUY,1731,JUJUY AV. 1731,1731 JUJUY AV.,,,PARQUE PATRICIOS,4
-584.052.965.151.263,-34.636.897.219.681,1227,FARMACIA,AV CASEROS,2979,CASEROS AV. 2979,2979 CASEROS AV.,4942-7000,,PARQUE PATRICIOS,4
-583.912.236.938.316,-34.628.671.692.015,1352,FARMACIA,AV ENTRE RIOS,1735,ENTRE RIOS AV. 1735,1735 ENTRE RIOS AV.,4305-6958,,PARQUE PATRICIOS,4
-585.100.660.636.466,-3.466.373.931.634,16,FARMACIA,JOSE E. RODO,7202,"RODO, JOSE E. 7202","7202 RODO, JOSE E.",4687-0599,,MATADEROS,9
-585.028.286.824.007,-346.516.579.254.643,40,FARMACIA,J B ALBERDI,5855,"ALBERDI, JUAN BAUTISTA AV. 5855","5855 ALBERDI, JUAN BAUTISTA AV.",4635-2253,4635-7768,MATADEROS,9
-585.085.875.056.634,-346.558.609.261.667,52,FARMACIA,LISANDRO DE LA TORRE,1741,"DE LA TORRE, LISANDRO 1741","1741 DE LA TORRE, LISANDRO",4686-6126,,MATADEROS,9
-585.046.317.613.118,-346.591.580.544.336,67,FARMACIA,AV LISANDRO DE LA TORRE,2101,"DE LA TORRE, LISANDRO AV. 2101","2101 DE LA TORRE, LISANDRO AV.",4687-0346,,MATADEROS,9
-585.057.623.843.945,-346.547.300.178.055,147,FARMACIA,AV JUAN B. ALBERDI,6208,"ALBERDI, JUAN BAUTISTA AV. 6208","6208 ALBERDI, JUAN BAUTISTA AV.",46879941,,MATADEROS,9
-585.016.651.704.843,-346.673.061.232.399,161,FARMACIA,AV CNEL CARDENAS,2716,"CARDENAS, CNEL. AV. 2716","2716 CARDENAS, CNEL. AV.",4687-5760,,MATADEROS,9
-585.219.473.663.114,-346.552.020.915.186,248,FARMACIA,AV EMILIO CASTRO,7446,"CASTRO, EMILIO AV. 7446","7446 CASTRO, EMILIO AV.",4687-5024,,MATADEROS,9
-585.004.773.057.837,-346.500.148.315.741,267,FARMACIA,JUAN B. ALBERDI AV,5602,"ALBERDI, JUAN BAUTISTA AV. 5602","5602 ALBERDI, JUAN BAUTISTA AV.",4635-1428,,MATADEROS,9
-585.046.246.695.545,-346.538.879.981.406,343,FARMACIA,AV JUAN B. ALBERDI,6102,"ALBERDI, JUAN BAUTISTA AV. 6102","6102 ALBERDI, JUAN BAUTISTA AV.",4687-0145,,MATADEROS,9
-585.058.115.424.239,-346.674.977.243.013,470,FARMACIA,AV DE LOS CORRALES,7228,DE LOS CORRALES AV. 7228,7228 DE LOS CORRALES AV.,4687-2602,,MATADEROS,9
-58.502.777.990.836,-346.644.780.693.344,904,FARMACIA,AV DE LOS CORRALES,6801,DE LOS CORRALES AV. 6801,6801 DE LOS CORRALES AV.,,,MATADEROS,9
-585.174.316.824.477,-34.661.716.573.945,696,FARMACIA,J B ALBERDI,7467,"ALBERDI, JUAN BAUTISTA AV. 7467","7467 ALBERDI, JUAN BAUTISTA AV.",,,MATADEROS,9
-585.173.206.497.013,-346.616.714.655.124,697,FARMACIA,AV JUAN B. ALBERDI,7461,"ALBERDI, JUAN BAUTISTA AV. 7461","7461 ALBERDI, JUAN BAUTISTA AV.",4687-1115,4687-0606,MATADEROS,9
-584.919.132.976.613,-346.518.604.102.973,773,FARMACIA,AV DIRECTORIO,5126,DIRECTORIO AV. 5126,5126 DIRECTORIO AV.,4684-0670,,MATADEROS,9
-585.116.737.627.914,-346.584.574.235.378,930,FARMACIA,JUAN B. ALBERDI AV,6901,"ALBERDI, JUAN BAUTISTA AV. 6901","6901 ALBERDI, JUAN BAUTISTA AV.",4686-3842,,MATADEROS,9
-585.143.833.702.724,-346.641.272.540.983,948,FARMACIA,AV GRAL PAZ,12950,"PAZ, GRAL. AV. 12950","12950 PAZ, GRAL. AV.",,,MATADEROS,9
-585.167.180.400.686,-346.613.521.432.621,1034,FARMACIA,AV JUAN B. ALBERDI,7399,"ALBERDI, JUAN BAUTISTA AV. 7399","7399 ALBERDI, JUAN BAUTISTA AV.",,,MATADEROS,9
-585.030.534.509.349,-346.518.758.417.769,1157,FARMACIA,AV JUAN B. ALBERDI,5889,"ALBERDI, JUAN BAUTISTA AV. 5889","5889 ALBERDI, JUAN BAUTISTA AV.",4635-6166,4643-2195 4642-5949,MATADEROS,9
-584.982.268.789.543,-346.473.965.144.123,1240,FARMACIA,AV JUAN B. ALBERDI,5281,"ALBERDI, JUAN BAUTISTA AV. 5281","5281 ALBERDI, JUAN BAUTISTA AV.",4682-7170,4682-2196,MATADEROS,9
-585.053.893.102.983,-346.539.792.681.507,1321,FARMACIA,J B ALBERDI,6151,"ALBERDI, JUAN BAUTISTA AV. 6151","6151 ALBERDI, JUAN BAUTISTA AV.",4687-4415,4687-4767,MATADEROS,9
-585.167.989.804.833,-346.528.104.842.987,1344,FARMACIA,AV EMILIO CASTRO,7000,"CASTRO, EMILIO AV. 7000","7000 CASTRO, EMILIO AV.",4686-2341,,MATADEROS,9
-584.982.342.724.737,-346.479.390.955.437,1445,FARMACIA,ALBERDI J. B. AV,5302,"ALBERDI, JUAN BAUTISTA AV. 5302","5302 ALBERDI, JUAN BAUTISTA AV.",4635-4173,,MATADEROS,9
-585.026.304.834.634,-346.514.723.579.541,1233,FARMACIA,AV ALBERDI,5831,"ALBERDI, JUAN BAUTISTA AV. 5831","5831 ALBERDI, JUAN BAUTISTA AV.",4682-1657,,MATADEROS,9
-585.025.138.313.127,-346.513.191.448.784,1006,FARMACIA,AV JUAN B. ALBERDI,5801,"ALBERDI, JUAN BAUTISTA AV. 5801","5801 ALBERDI, JUAN BAUTISTA AV.",4821-3000,,MATADEROS,9
-584.760.945.405.706,-34.660.161.143.829,61,FARMACIA,ESCALADA,2399,ESCALADA AV. 2399,2399 ESCALADA AV.,4601-3443,,VILLA LUGANO,8
-58.459.218.078.247,-346.744.606.242.602,121,FARMACIA,FF DE LA CRUZ,4602,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4602","4602 FERNANDEZ DE LA CRUZ, F., GRAL. AV.",4605-1111,,VILLA LUGANO,8
-584.661.896.595.799,-34.682.937.295.256,127,FARMACIA,AV SOLDADO DE LA FRONTERA,4951,SOLDADO DE LA FRONTERA AV. 4951,4951 SOLDADO DE LA FRONTERA AV.,4604-0711,,VILLA LUGANO,8
-584.710.909.749.286,-346.657.170.275.988,190,FARMACIA,AV CASTAÃ‘ARES,4650,CASTAÃ‘ARES AV. 4650,4650 CASTAÃ‘ARES AV.,4602-5539,,VILLA LUGANO,8
-584.747.296.927.839,-346.659.616.819.456,261,FARMACIA,"DELLEPIANE, LUIS, TTE. GRAL.",4751,"DELLEPIANE, LUIS, TTE. GRAL. 4751","4751 DELLEPIANE, LUIS, TTE. GRAL.",4638-3493,,VILLA LUGANO,8
-584.886.404.832.315,-346.669.544.166.864,378,FARMACIA,MURGUIONDO,3096,MURGUIONDO 3096,3096 MURGUIONDO,4601-5372,,VILLA LUGANO,8
-58.475.514.950.975,-346.778.399.601.958,435,FARMACIA,AV RIESTRA,5758,RIESTRA AV. 5758,5758 RIESTRA AV.,4602-9613,,VILLA LUGANO,8
-584.790.843.700.687,-346.582.890.604.831,902,FARMACIA,AV EVA PERON,4940,"PERON, EVA AV. 4940","4940 PERON, EVA AV.",4683-6707,,VILLA LUGANO,8
-584.755.348.428.904,-346.772.306.192.289,905,FARMACIA,AV RIESTRA,5701,RIESTRA AV. 5701,5701 RIESTRA AV.,4601-9969,,VILLA LUGANO,8
-584.824.735.604.705,-34.660.476.102.614,718,FARMACIA,AV EVA PERON,5338,"PERON, EVA AV. 5338","5338 PERON, EVA AV.",4682-9809,,VILLA LUGANO,8
-584.635.648.604.648,-346.847.806.433.415,730,FARMACIA,AV SOLDADO DE LA FRONTERA EDIF 29,5186,SOLDADO DE LA FRONTERA AV. 5186,5186 SOLDADO DE LA FRONTERA AV.,,,VILLA LUGANO,8
-584.786.553.263.357,-3.468.056.564.221,745,FARMACIA,AV RIESTRA,6148,RIESTRA AV. 6148,6148 RIESTRA AV.,4601-4785,,VILLA LUGANO,8
-584.768.728.585.413,-34.676.453.368.423,936,FARMACIA,SOMELLERA,5725,SOMELLERA 5725,5725 SOMELLERA,4601-3100,,VILLA LUGANO,8
-584.767.991.068.171,-34.675.831.904.692,961,FARMACIA,MURGUIONDO,4064,MURGUIONDO 4064,4064 MURGUIONDO,4601-9669,,VILLA LUGANO,8
-584.879.232.424.721,-346.632.547.403.504,1161,FARMACIA,AV EVA PERON,5862,"PERON, EVA AV. 5862","5862 PERON, EVA AV.",4682-0519,,VILLA LUGANO,8
-584.763.577.840.797,-346.759.664.972.355,1235,FARMACIA,SOMELLERA,5671,SOMELLERA 5671,5671 SOMELLERA,4601-0000,,VILLA LUGANO,8
-584.781.163.632.855,-346.661.626.827.268,546,FARMACIA,SANTANDER,5101,SANTANDER 5101,5101 SANTANDER,4601-1199,,VILLA LUGANO,8
-583.733.831.549.131,-346.220.938.324.161,249,FARMACIA,AV SAN JUAN,546,SAN JUAN AV. 546,546 SAN JUAN AV.,4300-1501,,SAN TELMO,1
-583.757.568.022.995,-34.623.525.505.802,329,FARMACIA,COCHABAMBA,710,COCHABAMBA 710,710 COCHABAMBA,4307-5907,,SAN TELMO,1
-583.718.340.439.852,-346.252.351.501.634,380,FARMACIA,BRASIL,447,BRASIL 447,447 BRASIL,4361-6114,,SAN TELMO,1
-583.768.884.737.423,-346.172.394.777.738,403,FARMACIA,AV INDEPENDENCIA,767,INDEPENDENCIA AV. 767,767 INDEPENDENCIA AV.,4361-1802,,SAN TELMO,1
